"","Beer_ID","Beer_Name","ABV","IBU","Brewery"
"1",1541,"Double Play Pilsner",NA,NA,"Blue Blood Brewing Company"
"2",1025,"N Street Drive-In 50th Anniversary IPA",NA,NA,"Blue Blood Brewing Company"
"3",2490,"Professor Black",NA,NA,"Blue Owl Brewing"
"4",2489,"Little Boss",NA,NA,"Blue Owl Brewing"
"5",2488,"Van Dayum!",NA,NA,"Blue Owl Brewing"
"6",2487,"Spirit Animal",NA,NA,"Blue Owl Brewing"
"7",2382,"Fat Paczki",NA,NA,"Brewery Vivant"
"8",2381,"Earth-Like Planets",NA,NA,"Brewery Vivant"
"9",1096,"Tampa Pale Ale",NA,NA,"Brindle Dog Brewing Company"
"10",1095,"Orange Grove Wheat Ale",NA,NA,"Brindle Dog Brewing Company"
"11",504,"Roler Bock (Current)",NA,NA,"Buckbean Brewing Company"
"12",870,"THP White (2006)",NA,NA,"Cans Bar and Canteen"
"13",869,"THP Amber (2006)",NA,NA,"Cans Bar and Canteen"
"14",868,"THP Light (2006)",NA,NA,"Cans Bar and Canteen"
"15",867,"THP Dark (2006)",NA,NA,"Cans Bar and Canteen"
"16",61,"Supper Club Lager",NA,NA,"Capital Brewery"
"17",2210,"Special Release",NA,NA,"Cedar Creek Brewery"
"18",1163,"WinterWonderGrass Festival Ale",NA,NA,"Crazy Mountain Brewing Company"
"19",940,"Boohai Red Ale",NA,NA,"Crazy Mountain Brewing Company"
"20",731,"Kaleidoscope Collaboration 2012",NA,NA,"Devil's Canyon Brewery"
"21",944,"Dock Street Amber Beer (1992)",NA,NA,"Dock Street Brewery"
"22",524,"Dolores River Hefeweizen",NA,NA,"Dolores River Brewery"
"23",450,"Dolores River ESB",NA,NA,"Dolores River Brewery"
"24",449,"Snaggletooth Double Pale Ale",NA,NA,"Dolores River Brewery"
"25",448,"Dolores River Pale Ale",NA,NA,"Dolores River Brewery"
"26",447,"Dolores River Dry Stout",NA,NA,"Dolores River Brewery"
"27",446,"Dolores River Mild",NA,NA,"Dolores River Brewery"
"28",520,"Inclined Plane Ale",NA,NA,"Flat Rock Brewing Company"
"29",2322,"Fort Pitt Ale",NA,NA,"Fort Pitt Brewing Company"
"30",142,"Black Iron India Pale Ale",NA,NA,"Grand Canyon Brewing Company"
"31",506,"Great Falls Select Pale Ale",NA,NA,"Harvest Moon Brewing Company"
"32",1784,"Appreciation Ale",NA,NA,"Iron Hill Brewery & Restaurant"
"33",2595,"Bastian",NA,NA,"James Page Brewing Company"
"34",2472,"U. P. Witbier",NA,NA,"Keweenaw Brewing Company"
"35",779,"November Gale Pale Ale",NA,NA,"Keweenaw Brewing Company"
"36",364,"Olde Ore Dock Scottish Ale",NA,NA,"Keweenaw Brewing Company"
"37",60,"Widow Maker Black Ale",NA,NA,"Keweenaw Brewing Company"
"38",59,"Lift Bridge Brown Ale",NA,NA,"Keweenaw Brewing Company"
"39",58,"Pick Axe Blonde Ale",NA,NA,"Keweenaw Brewing Company"
"40",57,"Red Jacket Amber Ale",NA,NA,"Keweenaw Brewing Company"
"41",273,"AXL Pale Ale",NA,NA,"MillKing It Productions"
"42",1796,"The CROWLER™",NA,NA,"Oskar Blues Brewery"
"43",1790,"CAN'D AID Foundation",NA,NA,"Oskar Blues Brewery"
"44",1752,"Icey.P.A.",NA,NA,"Oskar Blues Brewery"
"45",1750,"Birth IPA",NA,NA,"Oskar Blues Brewery"
"46",1056,"Pete's Wicked Pale Ale (1997)",NA,NA,"Pete's Brewing Company"
"47",335,"Ponderosa IPA",NA,NA,"Prescott Brewing Company"
"48",64,"Liquid Amber Ale",NA,NA,"Prescott Brewing Company"
"49",710,"Rye Porter",NA,NA,"Revolution Brewing"
"50",219,"Miner's Gold",NA,NA,"Revolution Brewing"
"51",1724,"Cal and Co. Black Cherry Porter",NA,NA,"Rochester Mills Brewing Company"
"52",307,"Santa Fe Oktoberfest",NA,NA,"Santa Fe Brewing Company"
"53",774,"Autumnal Molé Stout",NA,NA,"Ska Brewing Company"
"54",763,"Hopluia (2004)",NA,NA,"Spilker Ales"
"55",1948,"30 Min Coma",NA,NA,"Sun King Brewing Company"
"56",1347,"Bourbon Barrel Cowbell",NA,NA,"Sun King Brewing Company"
"57",963,"Manhattan Gold Lager (1990)",NA,NA,"The Manhattan Brewing Company"
"58",121,"Cornstalker Dark Wheat",NA,NA,"Thunderhead Brewing Company"
"59",652,"West Sixth IPA",NA,NA,"West Sixth Brewing"
"60",2364,"Royal Lager",NA,NA,"Weston Brewing Company"
"61",2344,"O’Malley’s Stout",NA,NA,"Weston Brewing Company"
"62",2342,"O’Malley’s Irish Style Cream Ale",NA,NA,"Weston Brewing Company"
